REGION_CODE,CITY,DISTRICT,STORE_NAME,LAT,LONG,TIER,TYPE_OF_STORE,PLANT_TYPE,CLUSTER,GOLD,SILVER,DIAMOND,STATUS
DNB,BA RIA-VUNG TAU,Huyện Châu Đức,"TTKH 303 Hùng Vương, TT. Ngãi Giao, Châu Đức, Bà Rịa - Vũng Tàu",10.353882364375846, 107.0759458239991,Tier 3,NEW CENTER,CH,DNB03,x,x,x,ON
DNB,BA RIA-VUNG TAU,Huyện Đất Đỏ,"TTKH 7 ô 5/12 Đường THĐ, Đất Đỏ",10.48025, 107.27879,Tier 3,LOW COST,CH,DNB03,x,x,,ON
DNB,BA RIA-VUNG TAU,Huyện Long Điền,"TTKH QL 44A, Long Điền",9.12833, 105.44472,Tier 3,NEW CENTER,CH,DNB03,x,x,x,ON
DNB,BA RIA-VUNG TAU,Huyện Xuyên Mộc,"50 Huỳnh Minh Thạnh, TT. Phước Bửu, Xuyên Mộc, Bà Rịa - Vũng Tàu, Vietnam",10.712323, 106.73525,Tier 3,NEW CENTER,CH,DNB03,x,x,x,ON
DNB,BA RIA-VUNG TAU,Thành phố Bà Rịa,PNJ Coop Bà Rịa,10.5, 107.16667,Tier 2,CENTER,CH,DNB03,x,x,,ON
DNB,BA RIA-VUNG TAU,Thành phố Bà Rịa,"TTKH 269A Cách Mạng Tháng Tám,",10.5, 107.16667,Tier 2,NEW CENTER,CH,DNB03,x,x,x,ON
DNB,BA RIA-VUNG TAU,Thành phố Vũng Tàu,Đường Ba Cu - TP. Vũng Tàu/ kh,10.34599, 107.08426,Tier 1,NEW CENTER,CH,DNB03,x,x,x,ON
DNB,BA RIA-VUNG TAU,Thành phố Vũng Tàu,PNJ Coop Vũng Tàu,10.34599, 107.08426,Tier 1,CENTER,CH,DNB03,x,x,,ON
DNB,BA RIA-VUNG TAU,Thành phố Vũng Tàu,"PNJ NEXT 380 Lê Hồng Phong,Vũng Tàu",10.34599, 107.08426,Tier 1,NEXT,CH,DNB03,x,x,x,ON
DNB,BA RIA-VUNG TAU,Thành phố Vũng Tàu,"TTTH 521-523 Ba Mươi Tháng Tư,",10.34599, 107.08426,Tier 1,CENTER,CH,DNB03,x,x,x,ON
DNB,BA RIA-VUNG TAU,Thị xã Phú Mỹ,PNJ Coop Tân Thành,10.57381, 107.10189,Tier 3,CENTER,CH,DNB03,x,x,,ON
DNB,BA RIA-VUNG TAU,Thị xã Phú Mỹ,"TTKH QL51, Mỹ Xuân, Tân Thành, Ba Ria - Vung Tau",13.45, 109.3,Tier 3,NEW CENTER,CH,DNB03,x,x,x,ON
DNB,BINH DUONG,Huyện Bàu Bàng,"TTKH 21-23 đường NC, Bàu Bàng",15.75, 108.36667,Tier 3,NEW CENTER,CH,DNB01,x,x,x,ON
DNB,BINH DUONG,Huyện Phú Giáo,"TTK 608 TT.Phước Vinh, Phú Giáo",13.95, 109.18333,Tier 3,NEW CENTER,CH,DNB05,x,x,x,ON
DNB,BINH DUONG,Thành phố Dĩ An,PNJ Aeon Bình Dương,10.931793, 106.711701,Tier 1,NEW CENTER,CH,DNB01,x,x,x,ON
DNB,BINH DUONG,Thành phố Dĩ An,PNJ BigC Dĩ An,10.889097, 106.776228,Tier 1,NEW CENTER,CH,DNB01,x,x,x,ON
DNB,BINH DUONG,Thành phố Dĩ An,"TTKH 105 Nguyễn Trãi, Dĩ An",10.90682, 106.7694,Tier 1,NEW CENTER,CH,DNB01,x,x,x,ON
DNB,BINH DUONG,Thành phố Dĩ An,"TTKH 230 Nguyễn An Ninh,Dĩ An",10.90682, 106.7694,Tier 1,NEW CENTER,CH,DNB01,x,x,x,ON
DNB,BINH DUONG,Thành phố Thủ Dầu Một,PNJ Coop Bình Dương,11.16667, 106.66667,Tier 1,NEW CENTER,CH,DNB01,x,x,,ON
DNB,BINH DUONG,Thành phố Thủ Dầu Một,PNJ Coop Bình Dương 2,47.28167, 8.45023,Tier 1,CENTER,CH,DNB01,x,x,,ON
DNB,BINH DUONG,Thành phố Thủ Dầu Một,"PNJ NEXT 3-3A Hùng Vương,Thủ D",10.9804, 106.6519,Tier 1,NEXT,CH,DNB01,x,x,x,ON
DNB,BINH DUONG,Thành phố Thủ Dầu Một,"TTKH 190 Yersin,Thủ Dầu Một",10.9804, 106.6519,Tier 1,NEW CENTER,CH,DNB04,x,x,x,ON
DNB,BINH DUONG,Thành phố Thủ Dầu Một,"TTKH 459 Đại lộ Bình Dương,Thủ",10.9804, 106.6519,Tier 1,NEW CENTER,CH,DNB04,x,x,x,ON
DNB,BINH DUONG,Thành phố Thủ Dầu Một,Vincom Thủ Dầu Một,10.984204, 106.666888,Tier 1,CENTER,CH,,,,,OFF
DNB,BINH DUONG,Thành phố Thuận An,PNJ Vincom Dĩ An,10.003258, 105.081058,Tier 2,CENTER,CH,DNB01,,,,OFF
DNB,BINH DUONG,Thành phố Thuận An,"TTKH 1/85 đường 22 tháng 12, Thuận An, Bình Dương",15.5, 108.68333,Tier 1,NEW CENTER,CH,DNB01,x,x,x,ON
DNB,BINH DUONG,Thành phố Thuận An,"TTKH 51 ĐT745,Thuận An",15.5, 108.68333,Tier 1,NEW CENTER,CH,DNB01,x,x,x,ON
DNB,BINH DUONG,Thị xã Bến Cát,"TTKH 460 Quốc lộ 13, Bến Cát",11.15, 106.6,Tier 3,NEW CENTER,CH,DNB04,x,x,x,ON
DNB,BINH DUONG,Thị xã Tân Uyên,TTKH 19DT Đường DT747 Hội Nghĩa,11.099080596042572, 106.77073026420894,Tier 3,NEW CENTER,CH,DNB05,x,x,x,ON
DNB,BINH DUONG,Thị xã Tân Uyên,TTKH 34 DT 746 Tân Uyên,22.07813, 105.05608,Tier 3,CENTER,CH,DNB01,x,x,x,ON
DNB,BINH PHUOC,Thành phố Đồng Xoài,PNJ Coop Đồng Xoài,11.53495, 106.88324,Tier 2,NEW CENTER,CH,DNB05,x,x,,ON
DNB,BINH PHUOC,Thành phố Đồng Xoài,"TTKH 874 Phú Riềng Đỏ,Đồng Xoà",11.53495, 106.88324,Tier 2,NEW CENTER,CH,DNB05,x,x,x,ON
DNB,BINH PHUOC,Thị xã Bình Long,TTKH 114-116-118 NH,11.64711, 106.60586,Tier 3,CENTER,CH,DNB05,x,x,x,ON
DNB,BINH PHUOC,Thị xã Chơn Thành,"TTKH 61 Quốc lộ 13, Chơn Thành, Bình Phước",11.42821, 106.63536,Tier 3,NEW CENTER,CH,DNB05,x,x,x,ON
DNB,BINH PHUOC,Thị xã Phước Long,"TTKH 351 Nguyễn Tất Thành, Phước Long",9.45167, 105.42389,Tier 3,CENTER,CH,DNB05,x,x,x,ON
DNB,DONG NAI,Huyện Long Thành,"TTKH 622K-624 Lê Duẩn,TT.Long Thành,Long Thành",10.76162, 107.02688,Tier 3,NEW CENTER,CH,DNB02,x,x,x,ON
DNB,DONG NAI,Huyện Nhơn Trạch,"TTKH 380 Lý Thái Tổ, Nhơn Trạch",10.758063894821305, 106.9257263364531,Tier 3,NEW CENTER,CH,DNB02,x,x,x,ON
DNB,DONG NAI,Huyện Tân Phú,TTKH 2170 QL20 Tân Phú,11.39867, 107.39976,Tier 3,LOW COST,CH,DNB02,x,x,,ON
DNB,DONG NAI,Huyện Thống Nhất,"TTKH 6/1B Quốc Lộ 20,Thống Nhất",10.97764, 107.15909,Tier 3,NEW CENTER,CH,DNB02,x,x,x,ON
DNB,DONG NAI,Huyện Trảng Bom,"TTKH 56 Đường 30/4, Trảng Bom",10.95358, 107.00589,Tier 3,CENTER,CH,DNB02,x,x,x,ON
DNB,DONG NAI,Thành phố Biên Hòa,CH Bạc 30/4 BHA,10.950438796644326, 106.82182472944858,Tier 1,CENTER,CH,DNB02,,,,OFF
DNB,DONG NAI,Thành phố Biên Hòa,Co.op Extra Biên Hòa,10.94469, 106.82432,Tier 1,CENTER,CH,,,,,OFF
DNB,DONG NAI,Thành phố Biên Hòa,PNJ BigC Đồng Nai,11.0, 107.16667,Tier 1,CENTER,CH,DNB02,x,x,,ON
DNB,DONG NAI,Thành phố Biên Hòa,PNJ Tân Phong (Big C|Go Tân Hiệp),10.0954, 105.25936,Tier 1,NEW CENTER,CH,DNB02,x,x,x,ON
DNB,DONG NAI,Thành phố Biên Hòa,PNJ Vincom Biên Hòa,19.809815, 105.777366,Tier 1,CENTER,CH,DNB02,,,,OFF
DNB,DONG NAI,Thành phố Biên Hòa,PNJ Vincom+ Long Thành,10.74379, 106.732469,Tier 3,CENTER,CH,DNB03,,,,OFF
DNB,DONG NAI,Thành phố Biên Hòa,"TTKH 1393 Phạm Văn Thuận,Biên Hòa",10.94469, 106.82432,Tier 1,NEXT,CH,DNB02,x,x,x,ON
DNB,DONG NAI,Thành phố Biên Hòa,"TTKH 3/2 Đồng Khởi,Đồng Khởi",10.256985, 106.365009,Tier 1,CENTER,CH,DNB02,x,x,x,ON
DNB,DONG NAI,Thành phố Biên Hòa,"TTKH 482 Phạm Văn Thuận,Biên H",10.94469, 106.82432,Tier 1,NEW CENTER,CH,DNB02,x,x,x,ON
DNB,DONG NAI,Thành phố Biên Hòa,"TTKH 684 Quốc lộ 1A,Biên Hòa",10.94469, 106.82432,Tier 1,CENTER,CH,DNB02,x,x,x,ON
DNB,DONG NAI,Thành phố Biên Hòa,"TTKH 97 Ba Mươi Tháng Tư,Biên Hòa",10.94469, 106.82432,Tier 1,NEW CENTER,CH,DNB02,x,x,x,ON
DNB,DONG NAI,Thành phố Long Khánh,"TTKH G58 Hùng Vương,Long Khánh",14.52157, 108.90502,Tier 2,NEW CENTER,CH,DNB02,x,x,x,ON
DNB,TAY NINH,Huyện Gò Dầu,TTKH 405 QL22 Gò Dầu Tây Ninh,11.0885, 106.26346,Tier 3,NEW CENTER,CH,DNB04,x,x,x,ON
DNB,TAY NINH,Huyện Tân Châu,"TTKH 431 Lê Duẩn, Tân Châu",11.553302117874802, 106.16367372297277,Tier 3,NEW CENTER,CH,DNB04,x,x,x,ON
DNB,TAY NINH,Thành phố Tây Ninh,"241 đường 30/4, Tây Ninh",10.024829, 105.774634,Tier 2,NEW CENTER,CH,DNB04,x,x,x,ON
DNB,TAY NINH,Thành phố Tây Ninh,PNJ Coop Tây Ninh,11.31004, 106.09828,Tier 2,CENTER,CH,DNB04,x,x,,ON
DNB,TAY NINH,Thành phố Tây Ninh,PNJ Vincom Tây Ninh,10.024829, 105.774634,Tier 2,CENTER,CH,DNB01,,,,OFF
DNB,TAY NINH,Thành phố Tây Ninh,"TTKH 877 Cách Mạng Tháng Tám,T",11.31004, 106.09828,Tier 2,NEW CENTER,CH,DNB04,x,x,x,ON
DNB,TAY NINH,Thị xã Hòa Thành,"TTKH 85 Hùng Vương,Hòa Thành",11.26706, 106.14486,Tier 3,NEW CENTER,CH,DNB04,x,x,x,ON
DNB,TAY NINH,Thị xã Trảng Bàng,"PNJ Coop Trảng Bàng 5 Quốc Lộ 22 Tổ 16 Khu phố Lộc An Phường Trảng Bàng Thị Xã, Trảng Bàng, Tây Ninh",11.02987, 106.35751,Tier 3,CENTER,CH,DNB04,x,x,,ON
DNB,TAY NINH,Thị xã Trảng Bàng,TTKH 5 Quốc lộ 2 Trảng Bàng,11.02987, 106.35751,Tier 3,CENTER,CH,DNB04,x,x,x,ON
HCM,HO CHI MINH,Huyện Bình Chánh,"TTKH A27/7 Quốc lộ 50,Bình Chánh",10.69541, 106.59128,Tier 2,NEW CENTER,CH,HCM01,x,x,x,ON
HCM,HO CHI MINH,Huyện Bình Chánh,"TTKH D19/22M Hương lộ 80, Bình Chánh",10.69541, 106.59128,Tier 2,NEW CENTER,CH,HCM03,x,x,x,ON
HCM,HO CHI MINH,Huyện Củ Chi,PNJ Centralmall Củ Chi,10.97333, 106.49325,Tier 2,NEW CENTER,CH,HCM09,x,x,,ON
HCM,HO CHI MINH,Huyện Củ Chi,PNJ Coop Củ Chi,10.97333, 106.49325,Tier 2,NEW CENTER,CH,HCM09,x,,,ON
HCM,HO CHI MINH,Huyện Củ Chi,"TTKH 126A Tỉnh Lộ 8,Củ Chi",10.97333, 106.49325,Tier 2,NEW CENTER,CH,HCM09,x,x,x,ON
HCM,HO CHI MINH,Huyện Củ Chi,"TTKH 53 Liêu Bình Hương, Củ Chi",10.97333, 106.49325,Tier 2,CENTER,CH,HCM09,x,x,x,ON
HCM,HO CHI MINH,Huyện Củ Chi,"TTKH 8 TL8, Tân An Hội, Củ Chi, Thành phố Hồ Chí Minh",10.973616, 106.4958421,Tier 2,NEW CENTER,CH,HCM09,x,x,x,ON
HCM,HO CHI MINH,Huyện Hóc Môn,"TTKH 151/3 Nguyễn Ảnh Thủ,Hóc",10.8891, 106.59533,Tier 2,NEW CENTER,CH,HCM09,x,x,x,ON
HCM,HO CHI MINH,Huyện Hóc Môn,"TTKH 3/27 Quang Trung,Hóc Môn",10.8891, 106.59533,Tier 2,NEW CENTER,CH,HCM09,x,x,x,ON
HCM,HO CHI MINH,Huyện Hóc Môn,"TTKH 57/9 ấp Tiền Lân, Bà Điểm, Hóc Môn, Ho Chi Minh City",10.83774, 106.59956,Tier 2,NEW CENTER,CH,HCM09,x,x,x,ON
HCM,HO CHI MINH,Huyện Nhà Bè,"TTKH 1871 Huỳnh Tấn Phát,Nhà Bè",10.68333, 106.76667,Tier 2,CENTER,CH,HCM08,x,x,x,ON
HCM,HO CHI MINH,Quận 1,"CH Bạc 21 Trần Quang Khải,Q1",10.792636348711747, 106.69569941871815,Tier 1,SILVER,CH,HCM08,,x,,ON
HCM,HO CHI MINH,Quận 1,PNJ  Vincom Đồng Khởi,10.77793, 106.702101,Tier 1,NEW CENTER,CH,HCM02,x,,,ON
HCM,HO CHI MINH,Quận 1,PNJ Bạc Takashimaya,10.773314504656668, 106.7010778628964,Tier 1,CENTER,CH,HCM09,,,,OFF
HCM,HO CHI MINH,Quận 1,PNJ Coop Cống Quỳnh,10.767681328335588, 106.68701264331082,Tier 1,CENTER,CH,HCM07,,,,OFF
HCM,HO CHI MINH,Quận 1,PNJ DiamondPlaza,10.781218857525376, 106.69923498378961,Tier 1,NEW CENTER,CH,HCM02,x,,,ON
HCM,HO CHI MINH,Quận 1,"PNJ NEXT 196 Hai Bà Trưng,Q1",10.786719235464675, 106.69434031686806,Tier 1,NEXT,CH,HCM05,x,,x,ON
HCM,HO CHI MINH,Quận 1,PNJ Nowzone,10.7639531, 106.6827131,Tier 1,CENTER,CH,HCM01,x,x,,ON
HCM,HO CHI MINH,Quận 1,PNJ Parkson Lê Thánh Tôn,10.777274, 106.702198,Tier 1,NEW CENTER,CH,HCM02,,,,OFF
HCM,HO CHI MINH,Quận 1,PNJ SaigonCentre,10.773519763463463, 106.70138808008932,Tier 1,NEW CENTER,CH,HCM02,x,,x,ON
HCM,HO CHI MINH,Quận 1,"PNJWatch 148C,Trần Quang Khải, Quận 1",10.78069, 106.69944,Tier 1,PNJWatch,CH,HCMWatch,,,,OFF
HCM,HO CHI MINH,Quận 1,Style Takashimaya,10.773314504656668, 106.7010778628964,Tier 1,STYLE,CH,HCM08,,,,ON
HCM,HO CHI MINH,Quận 1,"TTKH 172-174 Lê Thánh Tôn,Q1",10.773179, 106.697322,Tier 1,NEW CENTER,CH,HCM03,x,x,x,ON
HCM,HO CHI MINH,Quận 1,"TTKH 292 Hai Bà Trưng,Q1",10.027208, 105.786326,Tier 1,NEW CENTER,CH,HCM08,x,x,x,ON
HCM,HO CHI MINH,Quận 10,BigC Miền Đông,10.778255, 106.665465,Tier 1,CENTER,CH,HCM06,,,,OFF
HCM,HO CHI MINH,Quận 10,"CH Bạc 477 Nguyễn Tri Phương,Q 10",10.765619829599876, 106.66796050522497,Tier 1,SILVER,CH,HCM08,,x,,ON
HCM,HO CHI MINH,Quận 10,PNJ Bạc Coop Lý Thường Kiệt,10.760241687694117, 106.66147006984657,Tier 1,SILVER,CH,HCM09,,,,OFF
HCM,HO CHI MINH,Quận 10,PNJ CoopExtra Sư Vạn Hạnh,10.86785, 106.613,Tier 1,CENTER,CH,HCM07,x,x,,ON
HCM,HO CHI MINH,Quận 10,PNJ Vạn Hạnh Mall,10.7705966, 106.6696352,Tier 1,NEW CENTER,CH,HCM07,x,,x,ON
HCM,HO CHI MINH,Quận 10,"Style Vạn Hạnh Mall, Quận 10",10.7705966, 106.6696352,Tier 1,STYLE,CH,HCM08,,,,ON
HCM,HO CHI MINH,Quận 10,"TTKH 145 Thành Thái, Quận 10, Tp.Hồ Chí Minh",10.76823, 106.66632,Tier 1,NEW CENTER,CH,HCM02,x,x,x,ON
HCM,HO CHI MINH,Quận 10,"TTKH 294A Ba Tháng Hai,Q10",10.770688086818039, 106.67250080892507,Tier 1,NEW CENTER,CH,HCM03,x,x,x,ON
HCM,HO CHI MINH,Quận 11,"CH BẠC 140 Ông Ích Khiêm,Q11",10.766587769051018, 106.64362463645324,Tier 1,SILVER,CH,HCM09,,,,OFF
HCM,HO CHI MINH,Quận 11,PNJ Bạc Coop Phú Thọ,21.33333, 105.13333,Tier 1,CENTER,CH,HCM09,,,,OFF
HCM,HO CHI MINH,Quận 11,"TTKH 71 Ông Ích Khiêm,Q11",10.766489, 106.643725,Tier 1,NEW CENTER,CH,HCM06,x,,x,ON
HCM,HO CHI MINH,Quận 12,PNJ Bạc Coop Nguyễn Ảnh Thủ,10.85745490102166, 106.60983421489266,Tier 1,SILVER,CH,HCM08,,,,OFF
HCM,HO CHI MINH,Quận 12,"TTKH 1 Phan Văn Hớn,Q12",10.926902305111739, 106.79514560763424,Tier 1,NEW CENTER,CH,HCM09,x,x,x,ON
HCM,HO CHI MINH,Quận 12,"TTKH 23-23A Nguyễn Ảnh Thủ,Q12",10.876374311555125, 106.6479734057691,Tier 1,NEW CENTER,CH,HCM09,x,x,x,ON
HCM,HO CHI MINH,Quận 12,"TTKH 627 Nguyễn Ảnh Thủ,Q12",10.860299, 106.61016,Tier 1,NEW CENTER,CH,HCM06,x,x,x,ON
HCM,HO CHI MINH,Quận 2,PNJ Estella,42.67182, -2.03226,Tier 1,CENTER,CH,HCM04,x,,,ON
HCM,HO CHI MINH,Quận 2,PNJ Thiso mall,10.77220194848239, 106.72218280522505,Tier 1,NEW CENTER,CH,HCM04,x,x,,ON
HCM,HO CHI MINH,Quận 2,PNJ Vincom Thảo Điền,10.802282, 106.740965,Tier 1,NEW CENTER,CH,HCM04,x,x,,ON
HCM,HO CHI MINH,Quận 2,"TTKH 268 Nguyễn Duy Trinh,Q2",10.788066009145103, 106.76679375865409,Tier 1,NEW CENTER,CH,HCM04,x,x,x,ON
HCM,HO CHI MINH,Quận 3,"CH Bạc 305 Nguyễn Đình Chiểu,Q 3",10.772865625428176, 106.68528022056789,Tier 1,SILVER,CH,HCM08,,x,,ON
HCM,HO CHI MINH,Quận 3,Co.op Nguyễn Đình Chiểu,10.770336, 106.6824,Tier 1,CENTER,CH,HCM06,,,,OFF
